path	bytes	sha256	functions
tests/architecture/_risk_trace.py	7826	835c6d013e7c9318008b5a89398911e14d890b73320fab9bb4ff00238b26da76	8
tests/architecture/_risk_trace_reference.py	6057	158c7df5ac05a71a3bc1abaa2229d10ec514e32d781218aade37aabbbfb5aebc	4
tests/architecture/_source_mutations.py	1521	6c84182d42b22c496e297b7870d04748cb3440636d7efe506ad5e48eeab02aa3	3
tests/architecture/_test_relocations.py	5394	c8cd5277f9511f26377862e088b060c875791c2302cbe87cd7c2fcd92ed8d842	2
tests/architecture/_validation_candidate_oracle.py	2788	1dd60fc9ebb13724f7e72ed5951b7ad939dbb392e444c8067075ef1126567dbe	3
tests/architecture/_validation_capability_projection.py	30677	5fff61ec09002ebb9848268d88100d85df687c2fd317a835af720cea341e552f	20
tests/architecture/_validation_inventory.py	29850	a6669d03c02a232b252757baa73d0ee012aa370aad77bb6e2682504949cc5f7e	20
tests/architecture/_validation_oracle.py	33473	bc6096f3479e096278b0a99c2a4c73191dbc59b71cb6ef0198cf08001ab445ff	26
tests/architecture/_validation_reference_oracle.py	5649	cf7387b5148f1a8aa34efd02fc67ccf524ec072a7e0b5e1337d5c8483c40a71b	4
tests/architecture/_validation_relocation.py	17684	2782e7f0596ffc8582356ac91d8ea179bebd4ae883cb4b7ee109408ab5933f56	20
tests/architecture/_validation_transport.py	25594	d1d1d273b86b7f000d5d2dcd5251bcd889429618f19beb05c3a04d2fb972e170	25
tests/architecture/conftest.py	1862	440be43d72ade6422c8435731aeb826b393f1c360843901fb310b3d1739a36df	4
tests/architecture/test_architecture_governance.py	39073	45f9eb71eebbe58e777f75a7a17825c597bf0aecbd82d2d21296284505fcd9bc	32
tests/architecture/test_compatibility_contracts.py	30526	be0a5e6d2ec5f4a7a8a1c519aef1e19602675491619167eea8f18e504f457679	39
tests/architecture/test_complexity_budgets.py	4933	71890b8e81e8273e2d3ac734280f3dcf6a9b075d51bd72bfa70ad60a1d06bcb6	7
tests/architecture/test_config_boundaries.py	19291	3592358810c8a5de1e51ba9ee523d852774485d518d338f368998cbd65b9d603	13
tests/architecture/test_config_public_owners.py	10909	00a77aeb4aeb0c820fe306c84864d69affddb1296cf1a3b93b854a8d4ff53d8f	3
tests/architecture/test_current_allocation_book.py	1547	f4bf38b3051dff434b3fabf87b7aaa9e37ff0cc33cf28f76db6ea46e2d91292c	2
tests/architecture/test_current_heads_transport.py	2506	4d96c2999a63bdbb5b0b2ba1b87d67603fc471c7f7ee0b258f23f95836a0e9e7	2
tests/architecture/test_distribution_contracts.py	11445	490074fdd6495ba4792fa497d8893d36089f3edaab412c5cbed88b381fcd9afa	9
tests/architecture/test_execution_application_boundaries.py	48541	77ed15a8327e21f5fee57531ce9b2028747ef4f074cb03afe87542a3a3cec8df	31
